area_id,area_name,work_order,monster_id,monster_name,skill_id,skill_name,skill_type,effect_role,production_decision,runtime_use,relative_path,frame_index,frame_count,canvas,frame_seconds,playback_mode,sha256,user_art_approval
area_05,노틸러스,001,m_ribbon_pig,리본 돼지,s_mon_ribbon_pig,리본 돌진,액티브,ICON,NEW_ART,ui,ICON/001_m_ribbon_pig_s_mon_ribbon_pig_ICON.png,0,1,256x256 RGBA,static,static,42416f34713d34bd97894d48fdf27ec752a854d50b640a8f53229241beddebac,PENDING
area_05,노틸러스,001,m_ribbon_pig,리본 돼지,s_mon_ribbon_pig,리본 돌진,액티브,CAST,NEW_ART,true,CAST/001_m_ribbon_pig_s_mon_ribbon_pig_CAST_F00.png,0,8,384x384 RGBA,0.10,non-loop one-shot,82345b475b675428680ed1ccf3bf8fe845b414d2ba3b46fe585ea7c57010b33d,PENDING
area_05,노틸러스,001,m_ribbon_pig,리본 돼지,s_mon_ribbon_pig,리본 돌진,액티브,CAST,NEW_ART,true,CAST/001_m_ribbon_pig_s_mon_ribbon_pig_CAST_F01.png,1,8,384x384 RGBA,0.10,non-loop one-shot,c3f9d8b970ddaeb5f38f52cc0921a2b1b585154c8c896cfc2ebee3cde7c53967,PENDING
area_05,노틸러스,001,m_ribbon_pig,리본 돼지,s_mon_ribbon_pig,리본 돌진,액티브,CAST,NEW_ART,true,CAST/001_m_ribbon_pig_s_mon_ribbon_pig_CAST_F02.png,2,8,384x384 RGBA,0.10,non-loop one-shot,6e2dfbb803ef0c5980658aa5773882e3989a3bdf4330619eb6d2e5f73a3194cf,PENDING
area_05,노틸러스,001,m_ribbon_pig,리본 돼지,s_mon_ribbon_pig,리본 돌진,액티브,CAST,NEW_ART,true,CAST/001_m_ribbon_pig_s_mon_ribbon_pig_CAST_F03.png,3,8,384x384 RGBA,0.10,non-loop one-shot,ef4da3d325988d983da4f8dd83b795a662b55dfb3c70900f7edc6baf442e023d,PENDING
area_05,노틸러스,001,m_ribbon_pig,리본 돼지,s_mon_ribbon_pig,리본 돌진,액티브,CAST,NEW_ART,true,CAST/001_m_ribbon_pig_s_mon_ribbon_pig_CAST_F04.png,4,8,384x384 RGBA,0.10,non-loop one-shot,48f413cacac5c2a994f43538f58398cb9eae92f508d8b14527938acab6fd1b36,PENDING
area_05,노틸러스,001,m_ribbon_pig,리본 돼지,s_mon_ribbon_pig,리본 돌진,액티브,CAST,NEW_ART,true,CAST/001_m_ribbon_pig_s_mon_ribbon_pig_CAST_F05.png,5,8,384x384 RGBA,0.10,non-loop one-shot,2f6c32bbe22250373db6122a4b21073eb373735dcc43d0cb30c2358cb80dbabf,PENDING
area_05,노틸러스,001,m_ribbon_pig,리본 돼지,s_mon_ribbon_pig,리본 돌진,액티브,CAST,NEW_ART,true,CAST/001_m_ribbon_pig_s_mon_ribbon_pig_CAST_F06.png,6,8,384x384 RGBA,0.10,non-loop one-shot,fa7fdbe76dc2faa604ed5bd63922ec44f9584826fa1c9dd4a8570e8cc527dfbe,PENDING
area_05,노틸러스,001,m_ribbon_pig,리본 돼지,s_mon_ribbon_pig,리본 돌진,액티브,CAST,NEW_ART,true,CAST/001_m_ribbon_pig_s_mon_ribbon_pig_CAST_F07.png,7,8,384x384 RGBA,0.10,non-loop one-shot,a2622d1d1a2ffe44bec189927ba1de0aea89d9adaee3657dc0dfbbdfeb45f37b,PENDING
area_05,노틸러스,002,m_blue_pig,파란 리본돼지,s_mon_blue_pig,푸른 리본 매듭,패시브,ICON,NEW_ART,ui,ICON/002_m_blue_pig_s_mon_blue_pig_ICON.png,0,1,256x256 RGBA,static,static,0fc617d733ef56098a6839e15543906e25483d38dbc953ba5a521df02e084858,PENDING
area_05,노틸러스,002,m_blue_pig,파란 리본돼지,s_mon_blue_pig,푸른 리본 매듭,패시브,REFERENCE,NEW_ART,false,REFERENCE/002_m_blue_pig_s_mon_blue_pig_REFERENCE_F00.png,0,6,256x256 RGBA,0.10,preview-only non-loop,09fd03b273cc8ab94c26bdec6f763bb64ba7586411a983fcf29be85663720e1c,PENDING
area_05,노틸러스,002,m_blue_pig,파란 리본돼지,s_mon_blue_pig,푸른 리본 매듭,패시브,REFERENCE,NEW_ART,false,REFERENCE/002_m_blue_pig_s_mon_blue_pig_REFERENCE_F01.png,1,6,256x256 RGBA,0.10,preview-only non-loop,84735e38b45a7f4952e4c7393b21c905c4e75e0a47ef66941aa2ca1c4649723b,PENDING
area_05,노틸러스,002,m_blue_pig,파란 리본돼지,s_mon_blue_pig,푸른 리본 매듭,패시브,REFERENCE,NEW_ART,false,REFERENCE/002_m_blue_pig_s_mon_blue_pig_REFERENCE_F02.png,2,6,256x256 RGBA,0.10,preview-only non-loop,fc8941e3520f32add6074b7de8974f26b4fe86216ab88b924b2d9860a87df023,PENDING
area_05,노틸러스,002,m_blue_pig,파란 리본돼지,s_mon_blue_pig,푸른 리본 매듭,패시브,REFERENCE,NEW_ART,false,REFERENCE/002_m_blue_pig_s_mon_blue_pig_REFERENCE_F03.png,3,6,256x256 RGBA,0.10,preview-only non-loop,f93c4566e9dc04478c8143bfc2fffeb6e3864ebfd843c51e2519973ffd2461b8,PENDING
area_05,노틸러스,002,m_blue_pig,파란 리본돼지,s_mon_blue_pig,푸른 리본 매듭,패시브,REFERENCE,NEW_ART,false,REFERENCE/002_m_blue_pig_s_mon_blue_pig_REFERENCE_F04.png,4,6,256x256 RGBA,0.10,preview-only non-loop,81c924058863d72b52bea00d24b97e86acd96ebecf5d82abb5cc7377f03f6a52,PENDING
area_05,노틸러스,002,m_blue_pig,파란 리본돼지,s_mon_blue_pig,푸른 리본 매듭,패시브,REFERENCE,NEW_ART,false,REFERENCE/002_m_blue_pig_s_mon_blue_pig_REFERENCE_F05.png,5,6,256x256 RGBA,0.10,preview-only non-loop,94da854204f49650884cfccae135b6c16b7d36aab5154225c4781cb032b43a4b,PENDING
area_05,노틸러스,003,m_starfish,불가사리,s_mon_starfish,별가시 회전,액티브,ICON,NEW_ART,ui,ICON/003_m_starfish_s_mon_starfish_ICON.png,0,1,256x256 RGBA,static,static,a6217cda4069dafe1babac51f20166ba0f2ea46d9c688291b18cc4d74355d3c9,PENDING
