area,skill,zip_entry,sha256,review_copy
AREA_00,s_mon_snail_dew_trail,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F00.png,1b9c4f293d9cadf03e7d5a5fbdb0b1d5bec602e6b5095eebfc52e8671ea1d672,AREA_00/s_mon_snail_dew_trail/001_m_snail_s_mon_snail_dew_trail_F00.png
AREA_00,s_mon_snail_dew_trail,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F01.png,99986575ac82fc70e4125963604a14c15c760092f58c2272d3f727fbfd39e168,AREA_00/s_mon_snail_dew_trail/001_m_snail_s_mon_snail_dew_trail_F01.png
AREA_00,s_mon_snail_dew_trail,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F02.png,c706f422a1f4862ab3eda599719608c7c00d6e480c2efd4161889dcabe062b40,AREA_00/s_mon_snail_dew_trail/001_m_snail_s_mon_snail_dew_trail_F02.png
AREA_00,s_mon_snail_dew_trail,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F03.png,c8daafac5148ba8b544369f3fd0887facab85223f38141ab256d83d0fc4e039d,AREA_00/s_mon_snail_dew_trail/001_m_snail_s_mon_snail_dew_trail_F03.png
AREA_00,s_mon_snail_dew_trail,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F04.png,7a99f1c52052ff11dc12f4adfd3390795835caf1494e558543b297edf18bf404,AREA_00/s_mon_snail_dew_trail/001_m_snail_s_mon_snail_dew_trail_F04.png
AREA_00,s_mon_snail_dew_trail,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F05.png,dbd3dec48ce838c3851c2b222ac9bc4f6b9c48fb4410e829859dda51b0cbe6b4,AREA_00/s_mon_snail_dew_trail/001_m_snail_s_mon_snail_dew_trail_F05.png
AREA_00,s_mon_snail_dew_trail,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F06.png,6b7b0fd0cc215f5c107e250498bc7ee022fe85359f8b3d6adfe1f9d62f9d13be,AREA_00/s_mon_snail_dew_trail/001_m_snail_s_mon_snail_dew_trail_F06.png
AREA_00,s_mon_snail_dew_trail,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F07.png,69e3164d8844ae4f9f845e328807b329d267a822de2aaad5b04397d42d6ce899,AREA_00/s_mon_snail_dew_trail/001_m_snail_s_mon_snail_dew_trail_F07.png
AREA_00,s_mon_snail_dew_trail,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/ICON/001_m_snail_s_mon_snail_dew_trail_ICON.png,5145250ee979501f869ccef19216a5ba5ead210fb515df1cfe2c58194914af45,AREA_00/s_mon_snail_dew_trail/001_m_snail_s_mon_snail_dew_trail_ICON.png
AREA_00,s_mon_blue_snail,AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F00.png,471c1c739d9f7b379e8018a318acec495f39049ee49f1a6ad4fd96db7ecaa38a,AREA_00/s_mon_blue_snail/002_m_blue_snail_s_mon_blue_snail_F00.png
