path,exists,size,sha256
Mislocated/MyDesk/GameData/SkillTable.csv,true,51766,3a84b837edc8615e423dcc1da6a89a0237a36d3c481f310338fbe016a211023b
Mislocated/MyDesk/GameData/SkillTable.userdataset,true,537,188fba090e7aa4be6925c974070e533759a78c5d7237a493b974062573ca61b2
RootDesk/MyDesk/GameData/MonsterTable.csv,true,14574,6783014b6990f67988b4d17d5ae3b0b741896433fcefe3849449b7e06073b5e2
RootDesk/MyDesk/GameData/MonsterTable.userdataset,true,539,72c4580adaf33c9e7b89491a00ecceef2043236e4e1ed80121735662bc4cb73b
RootDesk/MyDesk/GameData/GameBalance.csv,true,14885,cf4070af15c35af12902c859a9ec6f638bda4fbf9ba15f5b865ddb5b02d38245
RootDesk/MyDesk/GameData/GameBalance.userdataset,true,538,c5fa8dc880eb230e89a8957845efbae09475235e2512b642ede70b0f28e3811b
RootDesk/MyDesk/GameData/GameData.mlua,true,59165,5ebaa7772b83b5462539137ec1023653dd4aecf39a6fbddb76996c11fd869bd4
RootDesk/MyDesk/Progress/PlayerCollection.mlua,true,22053,8a03ae1069c343d50c532a01ac1975eb22ea6cbad98c3bf027d9624ef37d9888
RootDesk/MyDesk/Progress/PlayerSkillSlots.mlua,true,47684,d8a56c0d56f135e33fa45a5f96c8718f699db78fabda5fbbe0dac5aa7c1f8c92
RootDesk/MyDesk/PlayerAttack.mlua,true,40067,ead1a55528f55dcb73444bf1c6a36eca2290bceba2ad3c704d856699a8da10ab
RootDesk/MyDesk/MonsterAttack.mlua,true,48029,e08ee5a9ff6ca98b90f31a8f1664c9efbd181b341fed71d3c8f70b0af83cdfd7
RootDesk/MyDesk/Combat/SkillEffect.mlua,true,18106,d43198db5a5b6b3b2bf2e44cf05f275ca8c6c5c507adac47fca9f24d51d8b830
RootDesk/MyDesk/Combat/SkillProjectile.mlua,true,4138,db94b038c38e568942be36f6236dc51c6f3e290306a565c5b09ddd2283d6b90f
RootDesk/MyDesk/UI/SkillBar.mlua,true,26027,065b1a1baaf1929f214f31b7ada0ed17baf3e5b94b1d116977eba12d44be19c7
RootDesk/MyDesk/UI/EquipPanel.mlua,true,42955,fa2a2f57644e85f4a8c2adf8c95e84887cb062aad3df69e972204e8981b66f4f
RootDesk/MyDesk/Save/PlayerDBManager.mlua,true,39709,52ce7d09961247c8a4ab07b1d6bbd50634f5b3445251d1a33c43ab057c138ec6
RootDesk/MyDesk/Save/SavePermanentData.mlua,true,8861,3673bf8a4993147b12b83eadf3c40035a99b85f7636145ca8cad614838aec9d9
docs/art/import-runs/ALL_AREAS_20260914_151243/RESOURCE_MAP.jsonl,true,277474,66dc7456b6df81df32db23217346569400e325b5ea0c316d45c922a31821c907
docs/art/area00-images-output/AREA_00_IMAGES_RESOURCE_MAP.csv,true,2254,954e62b64b9b45b9abf526a7e782512128e4519ab6a57494b8fbf8dbf8c66c3b
