state,path,size,sha256
tracked_changed,.maplestory-skill-maker-ledger.md,22679,fd216bcbe1fe963c85aa22022b186119ae69493917098917c7355302e42614b4
untracked,Archive/As-built.md,2416,fa912c83e4137394243132bb5f577b487f1c2a216fff5e3c54e2d76abcca9729
tracked_changed,RootDesk/MyDesk/GameData/GameBalance.csv,14885,cf4070af15c35af12902c859a9ec6f638bda4fbf9ba15f5b865ddb5b02d38245
tracked_changed,RootDesk/MyDesk/GameData/GameData.mlua,59165,5ebaa7772b83b5462539137ec1023653dd4aecf39a6fbddb76996c11fd869bd4
tracked_changed,RootDesk/MyDesk/GameData/GameDataVerify.mlua,39274,783cb949b9c51195af2149482e29d5ee9567f8c711bf817d51059f3e9e4e1aea
untracked,RootDesk/MyDesk/GameData/LevelGrowthTable.csv,3894,fb89a24e1e234d5325438544742163f22b661f7f0e05c3dc0e77c54657405644
untracked,RootDesk/MyDesk/GameData/LevelGrowthTable.userdataset,543,6687fc3cc12cfa871132f29612713e29188eea4cbd076ceceb18d8d26cfe8686
tracked_changed,RootDesk/MyDesk/GameData/MonsterTable.csv,14574,6783014b6990f67988b4d17d5ae3b0b741896433fcefe3849449b7e06073b5e2
untracked,RootDesk/MyDesk/GameData/TraitTable.csv,584,063e5c2e6d9420fd3019607e008ca9e6a7151b88bd849f64c32b32698c1243a1
untracked,RootDesk/MyDesk/GameData/TraitTable.userdataset,537,ebf27a2a6678f7112967ab6b38212c8325ed7013d50b7a49de8864f347124def
tracked_changed,RootDesk/MyDesk/Inventory/ItemDrop.mlua,6821,ae63dafbfbdbda5696ccb4af52a10c14f8a52ca5b03ae37a816c1a638ac7dec3
untracked,RootDesk/MyDesk/Models/Companions.directory,524,871aae18ec7685ea94604974e4d707dcee5c536569bfbe81040b28f8d6c1849c
untracked,RootDesk/MyDesk/Models/Companions/CompanionVisual.model,2415,28434a94925608a3e929e3f96362e6135da7a09ff515ede39844a7d7ec987b49
tracked_changed,RootDesk/MyDesk/MonsterAttack.mlua,48029,e08ee5a9ff6ca98b90f31a8f1664c9efbd181b341fed71d3c8f70b0af83cdfd7
tracked_changed,RootDesk/MyDesk/Player/PlayerStats.mlua,41475,43c033a828ec05cbb800bb33d84169c9c6d88c72e761503717fbb0669264912e
tracked_changed,RootDesk/MyDesk/PlayerAttack.mlua,40067,ead1a55528f55dcb73444bf1c6a36eca2290bceba2ad3c704d856699a8da10ab
tracked_changed,RootDesk/MyDesk/PlayerHit.mlua,11032,0a878e59b857548fecc35d4768e0986ba52fb668a92f1adfbe0d62c3de3007b9
tracked_changed,RootDesk/MyDesk/Progress/PlayerCollection.mlua,22053,8a03ae1069c343d50c532a01ac1975eb22ea6cbad98c3bf027d9624ef37d9888
tracked_changed,RootDesk/MyDesk/Progress/PlayerSkillSlots.mlua,47684,d8a56c0d56f135e33fa45a5f96c8718f699db78fabda5fbbe0dac5aa7c1f8c92
untracked,RootDesk/MyDesk/Progress/PlayerTravel.codeblock,701,2c0cbfb267e03026b189f731c91b9694a78311ea69b3044f319b64c444169398
untracked,RootDesk/MyDesk/Progress/PlayerTravel.mlua,1147,d585d304968a76ae093381b545e158d37a5bb8f1df82df8dfa0237116894f9e1
tracked_changed,RootDesk/MyDesk/Progress/Rebirth.mlua,15673,b0862efadd93d08828b503cf02725e88be165544c40ebf616e6a2b52300ed1a4
tracked_changed,RootDesk/MyDesk/Room/GoddessNpc.mlua,2707,9d36fba0bf9c197da5dfc3bad2d6e211330f6b60f10d2972e6fe057a83aea5cf
tracked_changed,RootDesk/MyDesk/Room/RoomGate.mlua,9697,314411121868b7e4337f9a6b5a65068c40e60d866e74ad9062fe778d3f6722cb
tracked_changed,RootDesk/MyDesk/Room/TownGate.mlua,8861,370af9c8b6da36e20e01ebb8146ea823c48a92766ba465f1f391a67774ba5167
tracked_changed,RootDesk/MyDesk/Save/PlayerDBManager.mlua,39709,52ce7d09961247c8a4ab07b1d6bbd50634f5b3445251d1a33c43ab057c138ec6
tracked_changed,RootDesk/MyDesk/Save/SavePermanentData.mlua,8861,3673bf8a4993147b12b83eadf3c40035a99b85f7636145ca8cad614838aec9d9
tracked_changed,RootDesk/MyDesk/Save/SaveRunData.mlua,4684,6b733f4726bc88bf4636d0347ea9b57ec73fc76e6326019064c66e9d0be14c29
tracked_changed,RootDesk/MyDesk/UI/EquipPanel.mlua,42955,fa2a2f57644e85f4a8c2adf8c95e84887cb062aad3df69e972204e8981b66f4f
tracked_changed,RootDesk/MyDesk/UI/SkillBar.mlua,26027,065b1a1baaf1929f214f31b7ada0ed17baf3e5b94b1d116977eba12d44be19c7
tracked_changed,RootDesk/MyDesk/UI/StatPanel.mlua,20811,e185bd4b9a76c962535558a157b6e5ced4753a0e34594674b6a68a238a77edc9
untracked,RootDesk/MyDesk/UI/TraitPanel.codeblock,699,e58eaf0d00f5e86a0304737de334b6a132a9c7ee91436cff3118587d2380b5f5
untracked,RootDesk/MyDesk/UI/TraitPanel.mlua,6319,2a75da355ad7e71910a524a8c6db0d90aee318eadf45e0489b3be3321ed64cbd
tracked_changed,RootDesk/MyDesk/UI/WorldMapPanel.mlua,32954,b71c9e7bcf51beab8fc063f1942e8736f89e1f7679e2cd32ecce99f01cfa1f25
untracked,docs/maple-levup-M1-GDD.md,15524,381607cbe619cf0505316e24c27caf20625bf8044cf91807d75a5f9988e5dfe7
untracked,docs/maple-levup-M1-Phase1.md,5419,b9314b92d4cc5f0c5795c62f8384008ca040186dcc70b8ba1fedd2dc257dabbe
untracked,docs/maple-levup-M1-Phase2.md,10346,98b1f064acdf89ab4fe4ae9238a2ad3462b13c3e4a147c73e20279122c9874c2
untracked,docs/maple-levup-M1-Phase3.5.md,4922,24a00d48ce271255fed320fc3245d044ac8b48afb84f0a72874a7986f48470f4
untracked,docs/maple-levup-M1-Phase3.6.md,3001,4125dc95504cf5176b51d501968fa2b166eaa8fe6d0d02bfd7555425a95c3b62
untracked,docs/maple-levup-M1-Phase3.md,7036,38ed5c4de5f8d90e01f32e844afea0f656c74ea7ffc04cbe2a68a68cf1624391
untracked,docs/maple-levup-M1-Phase4-map-builder.cjs,3164,6067f7758d6dd35873ffc5946bcc4985db440e7fcf5792eb0daf72b50c9864bb
untracked,docs/maple-levup-M1-Phase4.md,19389,dab162b5ebc49fa3172b41f618b1ca474dee3af390321347e9841a6e315560c4
untracked,docs/maple-levup-M2A-verify.cjs,7959,ef1f10fe18687f3a2565fd9421b6bf4a4579d2b91e05702e080fd90695a5d6f7
untracked,docs/maple-levup-M2A.md,6640,8e602cc02892b78e5a86637d3348483294e24f37df3137b59d0589cd17a68a35
untracked,docs/maple-levup-Roadmap.md,2232,5502138b67b3e11bb2bd29cc91de324a3b25fb3faf0fc207123a0f4b22f677a9
untracked,map/map003_p4b.map,78237,1a63bcf45e7d77a7aca900c546beef2bb1a92658c6f5a7dea235aa99917dd506
untracked,map/map003_p4c.map,91582,38f218e57c129bf917d51c0fa14755286eda4277b90dbefc023d7f7590b8b31d
tracked_changed,map/map077.map,111437,a73cf87c832f17dfa45b25e5d10d20938615c5ebb1d91713e9effa91d47b38f7
untracked,map/map077_p4c.map,86261,2d9f40ae91c62e48b7df58b47b8e0c9b58061b2960d6a99c57446e2bb5f0985a
tracked_changed,ui/AreaSelect.ui,179534,7f3b2b6d535329f88bf4b86038fa25fcdc30605499900a8aabf62af37733774e
tracked_changed,ui/GoddessWindow.ui,67974,4fe0d61b373c15cd541dd1111805c52d28c68a0cefc772f10b4a9a056f143009
