area,skill,role,frame,path,sha256,size_ok,mode,edge_max,safe85_a16,partial_alpha_pixels,hash_ok
AREA_07,s_mon_zombie_mushroom,icons,0,AREA_07/s_mon_zombie_mushroom/001_m_zombie_mushroom_s_mon_zombie_mushroom_ICON.png,6b07c8e977d1b752cf8fc86bd29c67f6497b56ca2d50bb25200f4c56c48942a2,True,RGBA,0,True,1153,True
AREA_07,s_mon_copper_drake,icons,0,AREA_07/s_mon_copper_drake/002_m_copper_drake_s_mon_copper_drake_ICON.png,917389c723ae3d4e937ad0e3b8ac73934605afba168cf617b93ee78b4689378b,True,RGBA,0,True,1149,True
AREA_07,s_mon_drake,frames,0,AREA_07/s_mon_drake/003_m_drake_s_mon_drake_F00.png,c57b5b63e20446ad6d5c2ebf56c5706c86a854497dda9d152093a7c48ff7bc09,True,RGBA,0,True,1481,True
AREA_07,s_mon_drake,frames,1,AREA_07/s_mon_drake/003_m_drake_s_mon_drake_F01.png,71830029f2e19459f1ee680713d0d71eae0a2da1f1c0f4bf239ab12f593e100b,True,RGBA,0,True,2826,True
AREA_07,s_mon_drake,frames,2,AREA_07/s_mon_drake/003_m_drake_s_mon_drake_F02.png,94ecec8ce99f1ff2bb4b06cc98eade8e7f2a71b8def4762eefc2dda0d93a3fc2,True,RGBA,0,True,5800,True
AREA_07,s_mon_drake,frames,3,AREA_07/s_mon_drake/003_m_drake_s_mon_drake_F03.png,213cce55ba13cace18d2c13158a580bf2be1349fe0a1097236feeac105cad649,True,RGBA,0,True,6415,True
AREA_07,s_mon_drake,frames,4,AREA_07/s_mon_drake/003_m_drake_s_mon_drake_F04.png,13de808bca015cf6b670dde7dbd7128e2ae98cc00724412eb5010851ad1c42a8,True,RGBA,0,True,6007,True
AREA_07,s_mon_drake,frames,5,AREA_07/s_mon_drake/003_m_drake_s_mon_drake_F05.png,4468248234fc87ccd9de1dfa7ab9cb45d585fdec550fef4add0f74367d29885b,True,RGBA,0,True,8049,True
AREA_07,s_mon_drake,frames,6,AREA_07/s_mon_drake/003_m_drake_s_mon_drake_F06.png,3301bab56f524dcd24a3b5b91f5d2ce223979f42fcbc07298423fe47a2433fb5,True,RGBA,0,True,12665,True
AREA_07,s_mon_drake,frames,7,AREA_07/s_mon_drake/003_m_drake_s_mon_drake_F07.png,aa88422927ac813f85131e6bb50e52750e4825012931c5b0877adeee03cc261a,True,RGBA,0,True,6413,True
AREA_07,s_mon_drake,icons,0,AREA_07/s_mon_drake/003_m_drake_s_mon_drake_ICON.png,7491eca441b7b988474b0150e5a558f19551e405bf7df5dc240ef8a4344bc2e8,True,RGBA,0,True,2600,True
AREA_07,s_mon_wild_kargo,frames,0,AREA_07/s_mon_wild_kargo/004_m_wild_kargo_s_mon_wild_kargo_F00.png,2e9a29e11e3780622b60569c39353e9a5283e6c4b30bb693561792d28a5cd322,True,RGBA,0,True,2304,True
AREA_07,s_mon_wild_kargo,frames,1,AREA_07/s_mon_wild_kargo/004_m_wild_kargo_s_mon_wild_kargo_F01.png,06aa654af5ba583d56c7a282f502acd847586b9898b913d2eff9cb1fb0867448,True,RGBA,0,True,2833,True
AREA_07,s_mon_wild_kargo,frames,2,AREA_07/s_mon_wild_kargo/004_m_wild_kargo_s_mon_wild_kargo_F02.png,3174f02bac70df39f3c750d7e74dfde13b8b7b8d9bb3d4a722a9065d4002e1c2,True,RGBA,0,True,3386,True
AREA_07,s_mon_wild_kargo,frames,3,AREA_07/s_mon_wild_kargo/004_m_wild_kargo_s_mon_wild_kargo_F03.png,543f8456a8f0c6d19a13d1854cfb180eab0be80520c193893cbcbae6f87d86dd,True,RGBA,0,True,3467,True
AREA_07,s_mon_wild_kargo,frames,4,AREA_07/s_mon_wild_kargo/004_m_wild_kargo_s_mon_wild_kargo_F04.png,af8a8d48c7744f2d0d676eb66a468b01cff5d74467a852efcc70af5202191912,True,RGBA,0,True,3251,True
AREA_07,s_mon_wild_kargo,frames,5,AREA_07/s_mon_wild_kargo/004_m_wild_kargo_s_mon_wild_kargo_F05.png,bf6d30d99d45a3bc40125624f2e4fc11574dac6e592a330bb653ded2e6be4392,True,RGBA,0,True,3292,True
AREA_07,s_mon_wild_kargo,frames,6,AREA_07/s_mon_wild_kargo/004_m_wild_kargo_s_mon_wild_kargo_F06.png,cc960702fbdb206ccb60c3a533523e953828c324649e1aa60c77b4050ccc26c3,True,RGBA,0,True,2490,True
AREA_07,s_mon_wild_kargo,frames,7,AREA_07/s_mon_wild_kargo/004_m_wild_kargo_s_mon_wild_kargo_F07.png,048e26852f5a88ff6049250dfb3f4f7a0f7bd104f6d5562fca1cbfcb67ca7918,True,RGBA,0,True,1706,True
AREA_07,s_mon_wild_kargo,icons,0,AREA_07/s_mon_wild_kargo/004_m_wild_kargo_s_mon_wild_kargo_ICON.png,1b7d025aa19c40870743942f4c69b1f88fdb3f05ea97ff98503fe8ec56be0486,True,RGBA,0,True,3113,True
AREA_07,s_mon_jr_balrog,frames,0,AREA_07/s_mon_jr_balrog/005_m_jr_balrog_s_mon_jr_balrog_F00.png,09c55fa0fce314031e2349d607e79ae50a39573258c668582bd65f5fe5c884e2,True,RGBA,0,True,8972,True
AREA_07,s_mon_jr_balrog,frames,1,AREA_07/s_mon_jr_balrog/005_m_jr_balrog_s_mon_jr_balrog_F01.png,6ddc208d87a1b910cd15fc71f88c05ff4ee6c52bff86bb066087e05707546db4,True,RGBA,0,True,13262,True
AREA_07,s_mon_jr_balrog,frames,2,AREA_07/s_mon_jr_balrog/005_m_jr_balrog_s_mon_jr_balrog_F02.png,168d1c1c20490ded4316bd9f40188c9c890aa46038128a0ddd325563256b28a4,True,RGBA,0,True,17862,True
AREA_07,s_mon_jr_balrog,frames,3,AREA_07/s_mon_jr_balrog/005_m_jr_balrog_s_mon_jr_balrog_F03.png,0786133087eaf7ceb326cdc709eb2d79e4b11be0b64eb8e3b286a62217ba0aed,True,RGBA,0,True,27172,True
AREA_07,s_mon_jr_balrog,frames,4,AREA_07/s_mon_jr_balrog/005_m_jr_balrog_s_mon_jr_balrog_F04.png,ce3d4a21263817e0badacf33e198aab0d296c8f74f1051db4659fbf80a102f46,True,RGBA,0,True,20746,True
AREA_07,s_mon_jr_balrog,frames,5,AREA_07/s_mon_jr_balrog/005_m_jr_balrog_s_mon_jr_balrog_F05.png,fdee2d42235a4f980b0cf33b1b08e5b1d968a486aacb14186be1a35411a3866a,True,RGBA,0,True,30827,True
AREA_07,s_mon_jr_balrog,frames,6,AREA_07/s_mon_jr_balrog/005_m_jr_balrog_s_mon_jr_balrog_F06.png,c88b428b2cdbc2f2cdc6d926c7139ffb34f028ccb5eeaa7b2769ecae6a357e36,True,RGBA,0,True,33989,True
AREA_07,s_mon_jr_balrog,frames,7,AREA_07/s_mon_jr_balrog/005_m_jr_balrog_s_mon_jr_balrog_F07.png,7320753c02864bb162fc53ebfc4e40d08a76a0ba4d5ce3bf65ca68ac83d5a661,True,RGBA,0,True,34639,True
AREA_07,s_mon_jr_balrog,frames,8,AREA_07/s_mon_jr_balrog/005_m_jr_balrog_s_mon_jr_balrog_F08.png,d4881bf5dd8154194ed753dd23f0aba7ec7b782289e0c0b4790cacc276ca2679,True,RGBA,0,True,23784,True
AREA_07,s_mon_jr_balrog,frames,9,AREA_07/s_mon_jr_balrog/005_m_jr_balrog_s_mon_jr_balrog_F09.png,7083198ae73008db45fa87c3823d4973af7e76f72085c6b1e4ee9924551789e3,True,RGBA,0,True,20394,True
AREA_07,s_mon_jr_balrog,frames,10,AREA_07/s_mon_jr_balrog/005_m_jr_balrog_s_mon_jr_balrog_F10.png,8d6ff7d84a5fd5508ab38e3a56584b9e7bd53768f80e83c8de7c1227acb55d5e,True,RGBA,0,True,17047,True
