area_id,area_name,work_order,monster_id,monster_name,skill_id,skill_name,skill_type,effect_role,production_decision,runtime_use,relative_file_path,frame_index,frame_count,width,height,frame_seconds,total_seconds,playback_mode,source_monster_image,generated_source_sheet,sheet_grid,split_coordinates,rgba_mode_ok,alpha_nonempty,alpha_range,size_ok,hash_sha256,inspection_notes,user_art_approval
area_12,루디브리엄,1,m_brown_teddy,브라운테니,s_mon_brown_teddy,솜인형 완충,패시브,ICON,NEW_ART,ui,ICON/001_m_brown_teddy_s_mon_brown_teddy_ICON.png,ICON,1,256,256,static,static,static,monsters/001_m_brown_teddy_브라운테니/MONSTER_IMAGE.png,,,,True,True,0~255,True,41ddd211f3f31f214d45362d6569086f1f35eb741a1a1a109bb2b03c0b1648c4,PASS,PENDING
area_12,루디브리엄,1,m_brown_teddy,브라운테니,s_mon_brown_teddy,솜인형 완충,패시브,REFERENCE_VFX,NEW_ART,false,REFERENCE/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_F00.png,F00,6,256,256,0.10,0.6000000000000001,preview-only non-loop,monsters/001_m_brown_teddy_브라운테니/MONSTER_IMAGE.png,SOURCE_SHEETS/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_SOURCE_SHEET.png,3x2,"[0,0,256,256] -> resized to 256x256",True,True,0~255,True,0d6a113ed2de7d858312b2e2e53b24a4129695b730c3f9fc33bcc5d63cb561b3,PASS,PENDING
area_12,루디브리엄,1,m_brown_teddy,브라운테니,s_mon_brown_teddy,솜인형 완충,패시브,REFERENCE_VFX,NEW_ART,false,REFERENCE/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_F01.png,F01,6,256,256,0.10,0.6000000000000001,preview-only non-loop,monsters/001_m_brown_teddy_브라운테니/MONSTER_IMAGE.png,SOURCE_SHEETS/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_SOURCE_SHEET.png,3x2,"[256,0,512,256] -> resized to 256x256",True,True,0~255,True,7b310a0c47430cd16bfd40d7a1eecb88bce28c6487b52f18d45a5dd6129c14fa,PASS,PENDING
area_12,루디브리엄,1,m_brown_teddy,브라운테니,s_mon_brown_teddy,솜인형 완충,패시브,REFERENCE_VFX,NEW_ART,false,REFERENCE/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_F02.png,F02,6,256,256,0.10,0.6000000000000001,preview-only non-loop,monsters/001_m_brown_teddy_브라운테니/MONSTER_IMAGE.png,SOURCE_SHEETS/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_SOURCE_SHEET.png,3x2,"[512,0,768,256] -> resized to 256x256",True,True,0~255,True,4e5f85f417d2647b618a8b8a4028ad8e1e9f7fd33ba44b1e2bdabd27e6ce1d19,PASS,PENDING
area_12,루디브리엄,1,m_brown_teddy,브라운테니,s_mon_brown_teddy,솜인형 완충,패시브,REFERENCE_VFX,NEW_ART,false,REFERENCE/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_F03.png,F03,6,256,256,0.10,0.6000000000000001,preview-only non-loop,monsters/001_m_brown_teddy_브라운테니/MONSTER_IMAGE.png,SOURCE_SHEETS/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_SOURCE_SHEET.png,3x2,"[0,256,256,512] -> resized to 256x256",True,True,0~255,True,7e018c11e5d3f8879be75891f065588cfa32ba1e10870096dc566159a2ee0c1c,PASS,PENDING
area_12,루디브리엄,1,m_brown_teddy,브라운테니,s_mon_brown_teddy,솜인형 완충,패시브,REFERENCE_VFX,NEW_ART,false,REFERENCE/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_F04.png,F04,6,256,256,0.10,0.6000000000000001,preview-only non-loop,monsters/001_m_brown_teddy_브라운테니/MONSTER_IMAGE.png,SOURCE_SHEETS/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_SOURCE_SHEET.png,3x2,"[256,256,512,512] -> resized to 256x256",True,True,0~255,True,a7f88060c6d170956810d12bc26478a9301f89fb55a7d95ee905747130f18a6e,PASS,PENDING
area_12,루디브리엄,1,m_brown_teddy,브라운테니,s_mon_brown_teddy,솜인형 완충,패시브,REFERENCE_VFX,NEW_ART,false,REFERENCE/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_F05.png,F05,6,256,256,0.10,0.6000000000000001,preview-only non-loop,monsters/001_m_brown_teddy_브라운테니/MONSTER_IMAGE.png,SOURCE_SHEETS/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_SOURCE_SHEET.png,3x2,"[512,256,768,512] -> resized to 256x256",True,True,0~255,True,043cf9157cba6b82b46a4dbdedebd12a50a379e223bc788cc55d0697a7f4b9ee,PASS,PENDING
area_12,루디브리엄,2,m_toy_trojan,장난감 목마,s_mon_toy_trojan,태엽 목마 돌진,액티브,ICON,NEW_ART,ui,ICON/002_m_toy_trojan_s_mon_toy_trojan_ICON.png,ICON,1,256,256,static,static,static,monsters/002_m_toy_trojan_장난감_목마/MONSTER_IMAGE.png,,,,True,True,0~255,True,9fb9bc83b18c3b6e516405d08902761bdd5d63b698519b270812b13c13692661,PASS,PENDING
area_12,루디브리엄,2,m_toy_trojan,장난감 목마,s_mon_toy_trojan,태엽 목마 돌진,액티브,CAST_VFX,NEW_ART,true,CAST/002_m_toy_trojan_s_mon_toy_trojan_CAST_F00.png,F00,8,384,384,0.10,0.8,non-loop one-shot,monsters/002_m_toy_trojan_장난감_목마/MONSTER_IMAGE.png,SOURCE_SHEETS/002_m_toy_trojan_s_mon_toy_trojan_CAST_SOURCE_SHEET.png,4x2,"[0,0,384,384] -> resized to 384x384",True,True,0~255,True,467c9aa3f5f7043275590fcfc0827faf091d2f9191e2d980ff25c9e7f89cb95d,PASS,PENDING
area_12,루디브리엄,2,m_toy_trojan,장난감 목마,s_mon_toy_trojan,태엽 목마 돌진,액티브,CAST_VFX,NEW_ART,true,CAST/002_m_toy_trojan_s_mon_toy_trojan_CAST_F01.png,F01,8,384,384,0.10,0.8,non-loop one-shot,monsters/002_m_toy_trojan_장난감_목마/MONSTER_IMAGE.png,SOURCE_SHEETS/002_m_toy_trojan_s_mon_toy_trojan_CAST_SOURCE_SHEET.png,4x2,"[384,0,768,384] -> resized to 384x384",True,True,0~255,True,e41e60f8373dce47c6634476c8a3e793f17ebf9d083d64d61068de9fd346449f,PASS,PENDING
