kind,path,baseline_sha256,final_sha256,unchanged,crc
AREA00_INPUT,D:\maplestory_levup\docs\art\images-input-packages\AREA_00_IMAGES_INPUT.zip,d1eb7b7f46061d3ef61c11781f0df0629d407d4415c8464f7567abea3a3dfdf7,d1eb7b7f46061d3ef61c11781f0df0629d407d4415c8464f7567abea3a3dfdf7,True,PASS
AREA00_OUTPUT,D:\maplestory_levup\docs\art\area00-images-output\AREA_00_IMAGES_OUTPUT_ORIGINAL.zip,5271fa0682c4cc76caaf6f4e5627c5fbf3c70ec87fe911b9e5398afb770f6853,5271fa0682c4cc76caaf6f4e5627c5fbf3c70ec87fe911b9e5398afb770f6853,True,PASS
DELIVERED_PNG_COPY,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F00.png,b7e74d47734d5b6bbcdbe3c68d99ed67b360eff4c6c73bcf4b141ba69b4d3525,b7e74d47734d5b6bbcdbe3c68d99ed67b360eff4c6c73bcf4b141ba69b4d3525,True,ZIP_CRC_PASS
DELIVERED_PNG_COPY,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F01.png,41302b32898fa0136beeba6c6959da7694f35bab7bf6c63a4f6b0f9a45e94b7b,41302b32898fa0136beeba6c6959da7694f35bab7bf6c63a4f6b0f9a45e94b7b,True,ZIP_CRC_PASS
DELIVERED_PNG_COPY,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F02.png,3e4aec6879b1765ebe8a38bdc3caf37b17cb412d113d5b3272e125f39ced6df8,3e4aec6879b1765ebe8a38bdc3caf37b17cb412d113d5b3272e125f39ced6df8,True,ZIP_CRC_PASS
DELIVERED_PNG_COPY,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F03.png,f9d41b208b4b5211ec7192e517b63e83b9584c97a27140e408efc1381954ba0b,f9d41b208b4b5211ec7192e517b63e83b9584c97a27140e408efc1381954ba0b,True,ZIP_CRC_PASS
DELIVERED_PNG_COPY,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F04.png,f74cc1f1679ee8075bb00b561de00036e26927f29630e28641ab8cb550dcf873,f74cc1f1679ee8075bb00b561de00036e26927f29630e28641ab8cb550dcf873,True,ZIP_CRC_PASS
DELIVERED_PNG_COPY,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F05.png,e42797fa98dd5ebd9ece312428850a4d002758e900040402c20a9a3c67b7e006,e42797fa98dd5ebd9ece312428850a4d002758e900040402c20a9a3c67b7e006,True,ZIP_CRC_PASS
DELIVERED_PNG_COPY,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F06.png,6fcb2783109b7be3a201ced278d107019a85b1b508ff10f9e8db2b8ef80d5f7f,6fcb2783109b7be3a201ced278d107019a85b1b508ff10f9e8db2b8ef80d5f7f,True,ZIP_CRC_PASS
DELIVERED_PNG_COPY,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F07.png,a10fa4be7113d815469390317d352bf33593777576ef66f81ebeae5055159c9a,a10fa4be7113d815469390317d352bf33593777576ef66f81ebeae5055159c9a,True,ZIP_CRC_PASS
DELIVERED_PNG_COPY,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/ICON/001_m_snail_s_mon_snail_dew_trail_ICON.png,9e4c5c2bf3f0edd39e3de4855d0eb2c16a049d879a88fe104fb91e5eb76a5446,9e4c5c2bf3f0edd39e3de4855d0eb2c16a049d879a88fe104fb91e5eb76a5446,True,ZIP_CRC_PASS
