area,monster_id,skill_id,role,frame,ruid,version,sha256,path
1,m_blue_snail,s_mon_blue_snail,ICON,,7c1a7e35b396432aa61872b4b520bbdc,6aa794eb731521fec39da71e,637261f5d01c0500bf2270159bf3a6dfc60e2ab445117048003fb39c4d1e2673,D:\maplestory_levup\docs\art\import-runs\ALL_AREAS_20260914_151243\staging\full\0000.png
1,m_blue_snail,s_mon_blue_snail,VFX,0,9f8475530aef418d8a229fa172134ce6,6aa794f064283f7d0548380a,fef5f5ef7798b391d8d8ca0dd7404b378ad2c14f84e4a92271a598afd652850c,D:\maplestory_levup\docs\art\import-runs\ALL_AREAS_20260914_151243\staging\full\0001.png
1,m_blue_snail,s_mon_blue_snail,VFX,1,7e232b7e063b4aa9a209589075495f9f,6aa79491080f20e595fd17f4,27a0f9950bfc950eff4539bae49d4e9198a184521abbaaf80da1285030aadea2,D:\maplestory_levup\docs\art\import-runs\ALL_AREAS_20260914_151243\staging\full\0002.png
1,m_blue_snail,s_mon_blue_snail,VFX,2,96fe1990167a4d55808da89bd9446086,6aa794b6cb73a580dcb777c4,e778adf5aac369417c9cf093be6791f65aa76f047289e4dc42c46bbd462b3b3c,D:\maplestory_levup\docs\art\import-runs\ALL_AREAS_20260914_151243\staging\full\0003.png
1,m_blue_snail,s_mon_blue_snail,VFX,3,b77ad4b43415466a8bb4725713fb7cac,6aa794c0cb73a580dcb777c8,172eb269246361d964baaaf28c1c1c99b8c183e44b24caaf02317baf480b76f1,D:\maplestory_levup\docs\art\import-runs\ALL_AREAS_20260914_151243\staging\full\0004.png
1,m_blue_snail,s_mon_blue_snail,VFX,4,dc367fc10b654b749f071b3e6915edce,6aa794c864283f7d054837fb,4640db08bca1d1c8b32043f5359bddebac98b6c71effddf8fe98e14afe021051,D:\maplestory_levup\docs\art\import-runs\ALL_AREAS_20260914_151243\staging\full\0005.png
1,m_blue_snail,s_mon_blue_snail,VFX,5,1fb0a121752d4957af975ed29acd5c1e,6aa794c7c91f1fc250f6e236,b5f3a8a11fb8ff0964f6d8f01fc58e4a9ed0a633ebb10ba782849a63a0cb665d,D:\maplestory_levup\docs\art\import-runs\ALL_AREAS_20260914_151243\staging\full\0006.png
1,m_blue_snail,s_mon_blue_snail,VFX,6,ec01db774e3741b68e974729fc1db36a,6aa794f7c91f1fc250f6e23a,68c679aa4b40d1c256f25fbd3aaba74625a71ff212b1dd9beb3c73ad1821a984,D:\maplestory_levup\docs\art\import-runs\ALL_AREAS_20260914_151243\staging\full\0007.png
1,m_blue_snail,s_mon_blue_snail,VFX,7,c1e67f9bf69d499e93a9e7530d0e46e8,6aa79503731521fec39da724,beb2cd108ba5078c692aa0aeaca24eb9b9fc89a4418486e9bf9dbad8f3db2108,D:\maplestory_levup\docs\art\import-runs\ALL_AREAS_20260914_151243\staging\full\0008.png
1,m_horny_mushroom,s_mon_horny_mushroom,ICON,,6e2afe97ab51495db2ad9d45be12a6e2,6aa794feca0a2020a0d87400,fc3b83966e96503b8e77fd7ee68c1163f58a9d314ae8957632fde71fb0456382,D:\maplestory_levup\docs\art\import-runs\ALL_AREAS_20260914_151243\staging\full\0009.png
