area_id,area_name,work_order,monster_id,monster_name,skill_id,skill_name,skill_type,effect_role,production_decision,runtime_use,relative_path,frame_index,frame_count,canvas,frame_seconds,total_seconds,playback_mode,source_reference,source_sheet,split_coords,sha256,validation_summary,user_art_approval
area_01,헤네시스 근교,1,m_snail,달팽이,s_mon_snail_dew_trail,이슬 미끄럼길,액티브,ICON,AREA00_APPROVED_REUSE,ui,monsters/001_m_snail_달팽이/ICON/001_m_snail_s_mon_snail_dew_trail_ICON.png,,1,256x256 RGBA,static,static,static,AREA_00 approved reuse,,,9e4c5c2bf3f0edd39e3de4855d0eb2c16a049d879a88fe104fb91e5eb76a5446,"{""rgba_mode"": ""PASS"", ""alpha_present"": ""PASS"", ""blank_frame"": ""PASS"", ""edge_touch"": ""PASS"", ""reuse_hash_match"": ""PASS""}",AREA00_APPROVED_REUSE_PRESERVED
area_01,헤네시스 근교,1,m_snail,달팽이,s_mon_snail_dew_trail,이슬 미끄럼길,액티브,CAST,AREA00_APPROVED_REUSE,true,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F00.png,0.0,8,384x384 RGBA,0.10,0.80,non-loop one-shot,AREA_00 approved reuse,,,b7e74d47734d5b6bbcdbe3c68d99ed67b360eff4c6c73bcf4b141ba69b4d3525,"{""rgba_mode"": ""PASS"", ""alpha_present"": ""PASS"", ""blank_frame"": ""PASS"", ""edge_touch"": ""PASS"", ""reuse_hash_match"": ""PASS""}",AREA00_APPROVED_REUSE_PRESERVED
area_01,헤네시스 근교,1,m_snail,달팽이,s_mon_snail_dew_trail,이슬 미끄럼길,액티브,CAST,AREA00_APPROVED_REUSE,true,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F01.png,1.0,8,384x384 RGBA,0.10,0.80,non-loop one-shot,AREA_00 approved reuse,,,41302b32898fa0136beeba6c6959da7694f35bab7bf6c63a4f6b0f9a45e94b7b,"{""rgba_mode"": ""PASS"", ""alpha_present"": ""PASS"", ""blank_frame"": ""PASS"", ""edge_touch"": ""PASS"", ""reuse_hash_match"": ""PASS""}",AREA00_APPROVED_REUSE_PRESERVED
area_01,헤네시스 근교,1,m_snail,달팽이,s_mon_snail_dew_trail,이슬 미끄럼길,액티브,CAST,AREA00_APPROVED_REUSE,true,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F02.png,2.0,8,384x384 RGBA,0.10,0.80,non-loop one-shot,AREA_00 approved reuse,,,3e4aec6879b1765ebe8a38bdc3caf37b17cb412d113d5b3272e125f39ced6df8,"{""rgba_mode"": ""PASS"", ""alpha_present"": ""PASS"", ""blank_frame"": ""PASS"", ""edge_touch"": ""PASS"", ""reuse_hash_match"": ""PASS""}",AREA00_APPROVED_REUSE_PRESERVED
area_01,헤네시스 근교,1,m_snail,달팽이,s_mon_snail_dew_trail,이슬 미끄럼길,액티브,CAST,AREA00_APPROVED_REUSE,true,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F03.png,3.0,8,384x384 RGBA,0.10,0.80,non-loop one-shot,AREA_00 approved reuse,,,f9d41b208b4b5211ec7192e517b63e83b9584c97a27140e408efc1381954ba0b,"{""rgba_mode"": ""PASS"", ""alpha_present"": ""PASS"", ""blank_frame"": ""PASS"", ""edge_touch"": ""PASS"", ""reuse_hash_match"": ""PASS""}",AREA00_APPROVED_REUSE_PRESERVED
area_01,헤네시스 근교,1,m_snail,달팽이,s_mon_snail_dew_trail,이슬 미끄럼길,액티브,CAST,AREA00_APPROVED_REUSE,true,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F04.png,4.0,8,384x384 RGBA,0.10,0.80,non-loop one-shot,AREA_00 approved reuse,,,f74cc1f1679ee8075bb00b561de00036e26927f29630e28641ab8cb550dcf873,"{""rgba_mode"": ""PASS"", ""alpha_present"": ""PASS"", ""blank_frame"": ""PASS"", ""edge_touch"": ""PASS"", ""reuse_hash_match"": ""PASS""}",AREA00_APPROVED_REUSE_PRESERVED
area_01,헤네시스 근교,1,m_snail,달팽이,s_mon_snail_dew_trail,이슬 미끄럼길,액티브,CAST,AREA00_APPROVED_REUSE,true,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F05.png,5.0,8,384x384 RGBA,0.10,0.80,non-loop one-shot,AREA_00 approved reuse,,,e42797fa98dd5ebd9ece312428850a4d002758e900040402c20a9a3c67b7e006,"{""rgba_mode"": ""PASS"", ""alpha_present"": ""PASS"", ""blank_frame"": ""PASS"", ""edge_touch"": ""PASS"", ""reuse_hash_match"": ""PASS""}",AREA00_APPROVED_REUSE_PRESERVED
area_01,헤네시스 근교,1,m_snail,달팽이,s_mon_snail_dew_trail,이슬 미끄럼길,액티브,CAST,AREA00_APPROVED_REUSE,true,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F06.png,6.0,8,384x384 RGBA,0.10,0.80,non-loop one-shot,AREA_00 approved reuse,,,6fcb2783109b7be3a201ced278d107019a85b1b508ff10f9e8db2b8ef80d5f7f,"{""rgba_mode"": ""PASS"", ""alpha_present"": ""PASS"", ""blank_frame"": ""PASS"", ""edge_touch"": ""PASS"", ""reuse_hash_match"": ""PASS""}",AREA00_APPROVED_REUSE_PRESERVED
area_01,헤네시스 근교,1,m_snail,달팽이,s_mon_snail_dew_trail,이슬 미끄럼길,액티브,CAST,AREA00_APPROVED_REUSE,true,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F07.png,7.0,8,384x384 RGBA,0.10,0.80,non-loop one-shot,AREA_00 approved reuse,,,a10fa4be7113d815469390317d352bf33593777576ef66f81ebeae5055159c9a,"{""rgba_mode"": ""PASS"", ""alpha_present"": ""PASS"", ""blank_frame"": ""PASS"", ""edge_touch"": ""PASS"", ""reuse_hash_match"": ""PASS""}",AREA00_APPROVED_REUSE_PRESERVED
area_01,헤네시스 근교,2,m_blue_snail,파란 달팽이,s_mon_blue_snail,푸른 껍질,버프,ICON,AREA00_APPROVED_REUSE,ui,monsters/002_m_blue_snail_파란_달팽이/ICON/002_m_blue_snail_s_mon_blue_snail_ICON.png,,1,256x256 RGBA,static,static,static,AREA_00 approved reuse,,,defd113ea3c59d8b570f73a79533b4253b5e72f789347e13aaa6cdbfefe65d27,"{""rgba_mode"": ""PASS"", ""alpha_present"": ""PASS"", ""blank_frame"": ""PASS"", ""edge_touch"": ""PASS"", ""reuse_hash_match"": ""PASS""}",AREA00_APPROVED_REUSE_PRESERVED
area_01,헤네시스 근교,2,m_blue_snail,파란 달팽이,s_mon_blue_snail,푸른 껍질,버프,CAST,AREA00_APPROVED_REUSE,true,monsters/002_m_blue_snail_파란_달팽이/CAST/002_m_blue_snail_s_mon_blue_snail_CAST_F00.png,0.0,8,256x256 RGBA,0.10,0.80,non-loop one-shot,AREA_00 approved reuse,,,d7b55014803cf9feed39d079ceb5deef7bf7f2780bfbbca351f8b3f6c00d8b7c,"{""rgba_mode"": ""PASS"", ""alpha_present"": ""PASS"", ""blank_frame"": ""PASS"", ""edge_touch"": ""PASS"", ""reuse_hash_match"": ""PASS""}",AREA00_APPROVED_REUSE_PRESERVED
area_01,헤네시스 근교,2,m_blue_snail,파란 달팽이,s_mon_blue_snail,푸른 껍질,버프,CAST,AREA00_APPROVED_REUSE,true,monsters/002_m_blue_snail_파란_달팽이/CAST/002_m_blue_snail_s_mon_blue_snail_CAST_F01.png,1.0,8,256x256 RGBA,0.10,0.80,non-loop one-shot,AREA_00 approved reuse,,,cfac5775668a4cbc3538bc0bf5d3128c156420b4b10154719e7b40b2f3e954c8,"{""rgba_mode"": ""PASS"", ""alpha_present"": ""PASS"", ""blank_frame"": ""PASS"", ""edge_touch"": ""PASS"", ""reuse_hash_match"": ""PASS""}",AREA00_APPROVED_REUSE_PRESERVED
area_01,헤네시스 근교,2,m_blue_snail,파란 달팽이,s_mon_blue_snail,푸른 껍질,버프,CAST,AREA00_APPROVED_REUSE,true,monsters/002_m_blue_snail_파란_달팽이/CAST/002_m_blue_snail_s_mon_blue_snail_CAST_F02.png,2.0,8,256x256 RGBA,0.10,0.80,non-loop one-shot,AREA_00 approved reuse,,,9c712f7984fa7cee2a34642bb6ea82d48e65ff40136722336230d5c108ed5cde,"{""rgba_mode"": ""PASS"", ""alpha_present"": ""PASS"", ""blank_frame"": ""PASS"", ""edge_touch"": ""PASS"", ""reuse_hash_match"": ""PASS""}",AREA00_APPROVED_REUSE_PRESERVED
area_01,헤네시스 근교,2,m_blue_snail,파란 달팽이,s_mon_blue_snail,푸른 껍질,버프,CAST,AREA00_APPROVED_REUSE,true,monsters/002_m_blue_snail_파란_달팽이/CAST/002_m_blue_snail_s_mon_blue_snail_CAST_F03.png,3.0,8,256x256 RGBA,0.10,0.80,non-loop one-shot,AREA_00 approved reuse,,,9637aba5fa8311195959dfb12a284ce6ae384861e8b7e861b18c2a5fa9a6ff13,"{""rgba_mode"": ""PASS"", ""alpha_present"": ""PASS"", ""blank_frame"": ""PASS"", ""edge_touch"": ""PASS"", ""reuse_hash_match"": ""PASS""}",AREA00_APPROVED_REUSE_PRESERVED
area_01,헤네시스 근교,2,m_blue_snail,파란 달팽이,s_mon_blue_snail,푸른 껍질,버프,CAST,AREA00_APPROVED_REUSE,true,monsters/002_m_blue_snail_파란_달팽이/CAST/002_m_blue_snail_s_mon_blue_snail_CAST_F04.png,4.0,8,256x256 RGBA,0.10,0.80,non-loop one-shot,AREA_00 approved reuse,,,0bce8d96d2dbfc9ed65f5735bf440ff5467d1e6daddf44769af7c501530720b7,"{""rgba_mode"": ""PASS"", ""alpha_present"": ""PASS"", ""blank_frame"": ""PASS"", ""edge_touch"": ""PASS"", ""reuse_hash_match"": ""PASS""}",AREA00_APPROVED_REUSE_PRESERVED
area_01,헤네시스 근교,2,m_blue_snail,파란 달팽이,s_mon_blue_snail,푸른 껍질,버프,CAST,AREA00_APPROVED_REUSE,true,monsters/002_m_blue_snail_파란_달팽이/CAST/002_m_blue_snail_s_mon_blue_snail_CAST_F05.png,5.0,8,256x256 RGBA,0.10,0.80,non-loop one-shot,AREA_00 approved reuse,,,7c711af880e09179d6e35cb0592244949ccf816ed2e0e843fb141e36b2f39d23,"{""rgba_mode"": ""PASS"", ""alpha_present"": ""PASS"", ""blank_frame"": ""PASS"", ""edge_touch"": ""PASS"", ""reuse_hash_match"": ""PASS""}",AREA00_APPROVED_REUSE_PRESERVED
area_01,헤네시스 근교,2,m_blue_snail,파란 달팽이,s_mon_blue_snail,푸른 껍질,버프,CAST,AREA00_APPROVED_REUSE,true,monsters/002_m_blue_snail_파란_달팽이/CAST/002_m_blue_snail_s_mon_blue_snail_CAST_F06.png,6.0,8,256x256 RGBA,0.10,0.80,non-loop one-shot,AREA_00 approved reuse,,,1a97d84716a4518c8af8262bb8cf503d43d9737ed0db3b262308d6a508bb0653,"{""rgba_mode"": ""PASS"", ""alpha_present"": ""PASS"", ""blank_frame"": ""PASS"", ""edge_touch"": ""PASS"", ""reuse_hash_match"": ""PASS""}",AREA00_APPROVED_REUSE_PRESERVED
