monster_id,monster_name,skill_id,skill_name,role,decision,rel_path,frames,size,delay,runtime_use,alpha
m_cube_slime,큐브 슬라임,s_mon_cube_slime,연금 큐브막,ICON,NEW_ART,ICON/001_m_cube_slime_s_mon_cube_slime_ICON.png,1,256x256,static,ui,PASS
m_cube_slime,큐브 슬라임,s_mon_cube_slime,연금 큐브막,REFERENCE,NEW_ART,REFERENCE/001_m_cube_slime_s_mon_cube_slime_REFERENCE_F00.png,1,256x256,0.1,false,PASS
m_cube_slime,큐브 슬라임,s_mon_cube_slime,연금 큐브막,REFERENCE,NEW_ART,REFERENCE/001_m_cube_slime_s_mon_cube_slime_REFERENCE_F01.png,1,256x256,0.1,false,PASS
m_cube_slime,큐브 슬라임,s_mon_cube_slime,연금 큐브막,REFERENCE,NEW_ART,REFERENCE/001_m_cube_slime_s_mon_cube_slime_REFERENCE_F02.png,1,256x256,0.1,false,PASS
m_cube_slime,큐브 슬라임,s_mon_cube_slime,연금 큐브막,REFERENCE,NEW_ART,REFERENCE/001_m_cube_slime_s_mon_cube_slime_REFERENCE_F03.png,1,256x256,0.1,false,PASS
m_cube_slime,큐브 슬라임,s_mon_cube_slime,연금 큐브막,REFERENCE,NEW_ART,REFERENCE/001_m_cube_slime_s_mon_cube_slime_REFERENCE_F04.png,1,256x256,0.1,false,PASS
m_cube_slime,큐브 슬라임,s_mon_cube_slime,연금 큐브막,REFERENCE,NEW_ART,REFERENCE/001_m_cube_slime_s_mon_cube_slime_REFERENCE_F05.png,1,256x256,0.1,false,PASS
m_mithril_mutae,미스릴 뮤테,s_mon_mithril_mutae,미스릴 외피,ICON,NEW_ART,ICON/002_m_mithril_mutae_s_mon_mithril_mutae_ICON.png,1,256x256,static,ui,PASS
m_mithril_mutae,미스릴 뮤테,s_mon_mithril_mutae,미스릴 외피,REFERENCE,NEW_ART,REFERENCE/002_m_mithril_mutae_s_mon_mithril_mutae_REFERENCE_F00.png,1,256x256,0.1,false,PASS
m_mithril_mutae,미스릴 뮤테,s_mon_mithril_mutae,미스릴 외피,REFERENCE,NEW_ART,REFERENCE/002_m_mithril_mutae_s_mon_mithril_mutae_REFERENCE_F01.png,1,256x256,0.1,false,PASS
m_mithril_mutae,미스릴 뮤테,s_mon_mithril_mutae,미스릴 외피,REFERENCE,NEW_ART,REFERENCE/002_m_mithril_mutae_s_mon_mithril_mutae_REFERENCE_F02.png,1,256x256,0.1,false,PASS
m_mithril_mutae,미스릴 뮤테,s_mon_mithril_mutae,미스릴 외피,REFERENCE,NEW_ART,REFERENCE/002_m_mithril_mutae_s_mon_mithril_mutae_REFERENCE_F03.png,1,256x256,0.1,false,PASS
m_mithril_mutae,미스릴 뮤테,s_mon_mithril_mutae,미스릴 외피,REFERENCE,NEW_ART,REFERENCE/002_m_mithril_mutae_s_mon_mithril_mutae_REFERENCE_F04.png,1,256x256,0.1,false,PASS
m_mithril_mutae,미스릴 뮤테,s_mon_mithril_mutae,미스릴 외피,REFERENCE,NEW_ART,REFERENCE/002_m_mithril_mutae_s_mon_mithril_mutae_REFERENCE_F05.png,1,256x256,0.1,false,PASS
m_homun,호문,s_mon_homun,플라스크 독무,ICON,NEW_ART,ICON/003_m_homun_s_mon_homun_ICON.png,1,256x256,static,ui,PASS
m_homun,호문,s_mon_homun,플라스크 독무,CAST,NEW_ART,CAST/003_m_homun_s_mon_homun_CAST_F00.png,1,384x384,0.1,true,PASS
m_homun,호문,s_mon_homun,플라스크 독무,CAST,NEW_ART,CAST/003_m_homun_s_mon_homun_CAST_F01.png,1,384x384,0.1,true,PASS
m_homun,호문,s_mon_homun,플라스크 독무,CAST,NEW_ART,CAST/003_m_homun_s_mon_homun_CAST_F02.png,1,384x384,0.1,true,PASS
m_homun,호문,s_mon_homun,플라스크 독무,CAST,NEW_ART,CAST/003_m_homun_s_mon_homun_CAST_F03.png,1,384x384,0.1,true,PASS
m_homun,호문,s_mon_homun,플라스크 독무,CAST,NEW_ART,CAST/003_m_homun_s_mon_homun_CAST_F04.png,1,384x384,0.1,true,PASS
m_homun,호문,s_mon_homun,플라스크 독무,CAST,NEW_ART,CAST/003_m_homun_s_mon_homun_CAST_F05.png,1,384x384,0.1,true,PASS
m_homun,호문,s_mon_homun,플라스크 독무,CAST,NEW_ART,CAST/003_m_homun_s_mon_homun_CAST_F06.png,1,384x384,0.1,true,PASS
m_homun,호문,s_mon_homun,플라스크 독무,CAST,NEW_ART,CAST/003_m_homun_s_mon_homun_CAST_F07.png,1,384x384,0.1,true,PASS
m_roid,로이드,s_mon_roid,알카드노 에너지탄,ICON,NEW_ART,ICON/004_m_roid_s_mon_roid_ICON.png,1,256x256,static,ui,PASS
m_roid,로이드,s_mon_roid,알카드노 에너지탄,CAST,NEW_ART,CAST/004_m_roid_s_mon_roid_CAST_F00.png,1,384x384,0.1,true,PASS
m_roid,로이드,s_mon_roid,알카드노 에너지탄,CAST,NEW_ART,CAST/004_m_roid_s_mon_roid_CAST_F01.png,1,384x384,0.1,true,PASS
m_roid,로이드,s_mon_roid,알카드노 에너지탄,CAST,NEW_ART,CAST/004_m_roid_s_mon_roid_CAST_F02.png,1,384x384,0.1,true,PASS
m_roid,로이드,s_mon_roid,알카드노 에너지탄,CAST,NEW_ART,CAST/004_m_roid_s_mon_roid_CAST_F03.png,1,384x384,0.1,true,PASS
m_roid,로이드,s_mon_roid,알카드노 에너지탄,CAST,NEW_ART,CAST/004_m_roid_s_mon_roid_CAST_F04.png,1,384x384,0.1,true,PASS
m_roid,로이드,s_mon_roid,알카드노 에너지탄,CAST,NEW_ART,CAST/004_m_roid_s_mon_roid_CAST_F05.png,1,384x384,0.1,true,PASS
