SkillID,ExecutedRounds,SlotRetained,CooldownImmediateBlock,CooldownExpiredReuse,DamageOrDefenseObserved,VFXLog,VisualReview,Terrain,Replacement,Status
s_mon_advanced_knight_b,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_ancient_dark_golem,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_axe_stump,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_blood_harp,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_blue_snail,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_blue_wyvern,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_chief_memory_guardian,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_chimera,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_chronos,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_cygnus,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_dark_axe_stump,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_dark_stump,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_deo,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_dodo,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_drake,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_drumming_bunny,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_eliza,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_fairy,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_faust,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_fire_boar,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_hector,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_homun,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_jr_balrog,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_jr_wraith,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_king_bloctopus,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_king_clang,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_lunar_pixie,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_mano,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_manon,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_mateon,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_mecateon,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
s_mon_meercat,2,true,true,true,true,SEE_RUNTIME_LOG,NOT_RUN,NOT_RUN,NOT_RUN,PARTIAL
