area_id,area_name,work_order,monster_id,monster_name,skill_id,skill_name,skill_type,effect_role,production_decision,runtime_use,relative_path,frame_index,frame_count,canvas,frame_seconds,playback_mode,sha256,user_art_approval
area_10,아쿠아로드,001,m_bubble_fish,버블피쉬,s_mon_bubble_fish,기포막,패시브,ICON,NEW_ART,ui,ICON/001_m_bubble_fish_s_mon_bubble_fish_ICON.png,0,1,256x256 RGBA,static,static,62ef8c156feec57ac50b91bda9cc47e94331e1190de8d3c7e470340412534a47,PENDING
area_10,아쿠아로드,001,m_bubble_fish,버블피쉬,s_mon_bubble_fish,기포막,패시브,REFERENCE,NEW_ART,false,REFERENCE/001_m_bubble_fish_s_mon_bubble_fish_REFERENCE_F00.png,0,6,256x256 RGBA,0.10,preview-only non-loop,5efa647a6547895b5d5ad286ca2c540f61257b0ee5bc5f1d835323e80b8d1810,PENDING
area_10,아쿠아로드,001,m_bubble_fish,버블피쉬,s_mon_bubble_fish,기포막,패시브,REFERENCE,NEW_ART,false,REFERENCE/001_m_bubble_fish_s_mon_bubble_fish_REFERENCE_F01.png,1,6,256x256 RGBA,0.10,preview-only non-loop,f0897f56ac7150e4bf924593d0d41779fc978ad59dad35db215e9c468aea2792,PENDING
area_10,아쿠아로드,001,m_bubble_fish,버블피쉬,s_mon_bubble_fish,기포막,패시브,REFERENCE,NEW_ART,false,REFERENCE/001_m_bubble_fish_s_mon_bubble_fish_REFERENCE_F02.png,2,6,256x256 RGBA,0.10,preview-only non-loop,3b781f60890c4b3f73816ce2afc9dd59229eb307c6e8c5d511e4251da4b9c86c,PENDING
area_10,아쿠아로드,001,m_bubble_fish,버블피쉬,s_mon_bubble_fish,기포막,패시브,REFERENCE,NEW_ART,false,REFERENCE/001_m_bubble_fish_s_mon_bubble_fish_REFERENCE_F03.png,3,6,256x256 RGBA,0.10,preview-only non-loop,edbd5b346a1d0a958c3cb3c0fea3d21ad7a56d6dc68e96a8a398a533d25ab7fc,PENDING
area_10,아쿠아로드,001,m_bubble_fish,버블피쉬,s_mon_bubble_fish,기포막,패시브,REFERENCE,NEW_ART,false,REFERENCE/001_m_bubble_fish_s_mon_bubble_fish_REFERENCE_F04.png,4,6,256x256 RGBA,0.10,preview-only non-loop,2fbee6a59dbd90c8863e343eefd7a04b446b91985a38ec3835fd38c3dc1d12f0,PENDING
area_10,아쿠아로드,001,m_bubble_fish,버블피쉬,s_mon_bubble_fish,기포막,패시브,REFERENCE,NEW_ART,false,REFERENCE/001_m_bubble_fish_s_mon_bubble_fish_REFERENCE_F05.png,5,6,256x256 RGBA,0.10,preview-only non-loop,4229a8751c9ee93138d105f6667c5b80fa941c572a829149f24e057dee623c4a,PENDING
area_10,아쿠아로드,002,m_mask_fish,마스크피쉬,s_mon_mask_fish,가면 아래의 감각,패시브,ICON,NEW_ART,ui,ICON/002_m_mask_fish_s_mon_mask_fish_ICON.png,0,1,256x256 RGBA,static,static,66650b73b9443a66b1fead6ce3f59b9ba33782677c809819b42aa807326b6a45,PENDING
area_10,아쿠아로드,002,m_mask_fish,마스크피쉬,s_mon_mask_fish,가면 아래의 감각,패시브,REFERENCE,NEW_ART,false,REFERENCE/002_m_mask_fish_s_mon_mask_fish_REFERENCE_F00.png,0,6,256x256 RGBA,0.10,preview-only non-loop,518118f70295022332ce411a96e239e99b373fcc4dc97db6024d853e188b8082,PENDING
area_10,아쿠아로드,002,m_mask_fish,마스크피쉬,s_mon_mask_fish,가면 아래의 감각,패시브,REFERENCE,NEW_ART,false,REFERENCE/002_m_mask_fish_s_mon_mask_fish_REFERENCE_F01.png,1,6,256x256 RGBA,0.10,preview-only non-loop,c8d06d03cf10b88da16419418b35b6fd4a55f715a652a0b99514b79f24d0ae01,PENDING
