area_id,monster_id,skill_id,role,frame_index,source_zip,source_path,output_path,source_sha256,output_sha256,byte_preserved
area_01,m_snail,s_mon_snail_dew_trail,ICON,0,AREA_01_IMAGES_OUTPUT.zip,monsters/001_m_snail_달팽이/ICON/001_m_snail_s_mon_snail_dew_trail_ICON.png,monsters/001_m_snail_달팽이/ICON/001_m_snail_s_mon_snail_dew_trail_ICON.png,9e4c5c2bf3f0edd39e3de4855d0eb2c16a049d879a88fe104fb91e5eb76a5446,9e4c5c2bf3f0edd39e3de4855d0eb2c16a049d879a88fe104fb91e5eb76a5446,PASS
area_01,m_snail,s_mon_snail_dew_trail,CAST_VFX,0,AREA_01_IMAGES_OUTPUT.zip,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F00.png,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F00.png,b7e74d47734d5b6bbcdbe3c68d99ed67b360eff4c6c73bcf4b141ba69b4d3525,b7e74d47734d5b6bbcdbe3c68d99ed67b360eff4c6c73bcf4b141ba69b4d3525,PASS
area_01,m_snail,s_mon_snail_dew_trail,CAST_VFX,1,AREA_01_IMAGES_OUTPUT.zip,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F01.png,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F01.png,41302b32898fa0136beeba6c6959da7694f35bab7bf6c63a4f6b0f9a45e94b7b,41302b32898fa0136beeba6c6959da7694f35bab7bf6c63a4f6b0f9a45e94b7b,PASS
area_01,m_snail,s_mon_snail_dew_trail,CAST_VFX,2,AREA_01_IMAGES_OUTPUT.zip,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F02.png,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F02.png,3e4aec6879b1765ebe8a38bdc3caf37b17cb412d113d5b3272e125f39ced6df8,3e4aec6879b1765ebe8a38bdc3caf37b17cb412d113d5b3272e125f39ced6df8,PASS
area_01,m_snail,s_mon_snail_dew_trail,CAST_VFX,3,AREA_01_IMAGES_OUTPUT.zip,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F03.png,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F03.png,f9d41b208b4b5211ec7192e517b63e83b9584c97a27140e408efc1381954ba0b,f9d41b208b4b5211ec7192e517b63e83b9584c97a27140e408efc1381954ba0b,PASS
area_01,m_snail,s_mon_snail_dew_trail,CAST_VFX,4,AREA_01_IMAGES_OUTPUT.zip,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F04.png,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F04.png,f74cc1f1679ee8075bb00b561de00036e26927f29630e28641ab8cb550dcf873,f74cc1f1679ee8075bb00b561de00036e26927f29630e28641ab8cb550dcf873,PASS
area_01,m_snail,s_mon_snail_dew_trail,CAST_VFX,5,AREA_01_IMAGES_OUTPUT.zip,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F05.png,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F05.png,e42797fa98dd5ebd9ece312428850a4d002758e900040402c20a9a3c67b7e006,e42797fa98dd5ebd9ece312428850a4d002758e900040402c20a9a3c67b7e006,PASS
area_01,m_snail,s_mon_snail_dew_trail,CAST_VFX,6,AREA_01_IMAGES_OUTPUT.zip,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F06.png,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F06.png,6fcb2783109b7be3a201ced278d107019a85b1b508ff10f9e8db2b8ef80d5f7f,6fcb2783109b7be3a201ced278d107019a85b1b508ff10f9e8db2b8ef80d5f7f,PASS
area_01,m_snail,s_mon_snail_dew_trail,CAST_VFX,7,AREA_01_IMAGES_OUTPUT.zip,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F07.png,monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F07.png,a10fa4be7113d815469390317d352bf33593777576ef66f81ebeae5055159c9a,a10fa4be7113d815469390317d352bf33593777576ef66f81ebeae5055159c9a,PASS
area_01,m_blue_snail,s_mon_blue_snail,ICON,0,AREA_01_IMAGES_OUTPUT.zip,monsters/002_m_blue_snail_파란_달팽이/ICON/002_m_blue_snail_s_mon_blue_snail_ICON.png,monsters/002_m_blue_snail_파란_달팽이/ICON/002_m_blue_snail_s_mon_blue_snail_ICON.png,defd113ea3c59d8b570f73a79533b4253b5e72f789347e13aaa6cdbfefe65d27,defd113ea3c59d8b570f73a79533b4253b5e72f789347e13aaa6cdbfefe65d27,PASS
