area_id,relative_path,category,new_sha256,basis,source_art_changed
area_12,monsters/001_m_brown_teddy_브라운테니/RESULT_INFO.md,DOCUMENT,9ef8dfbf24a7a7cac07dfb332f703dd6affad7694b6d3bbcf22a74f266352865,V2.4 canonical metadata / actual delivered PNG composition,NO
area_12,monsters/001_m_brown_teddy_브라운테니/PREVIEW/labeled_preview.png,PREVIEW,85e9ad88cde1012c3a5232a37b52c0da6954fbda905734320a26069ebb01c784,V2.4 canonical metadata / actual delivered PNG composition,NO
area_12,monsters/002_m_toy_trojan_장난감_목마/RESULT_INFO.md,DOCUMENT,171193c13400a20751b3af6c4691835f36e8c0b426eb75ffe050fde9c4f20085,V2.4 canonical metadata / actual delivered PNG composition,NO
area_12,monsters/002_m_toy_trojan_장난감_목마/PREVIEW/labeled_preview.png,PREVIEW,83d9972d13976e53819c2ba8b34e9a372a9f19b1a9c0da8068206cbf61396c5e,V2.4 canonical metadata / actual delivered PNG composition,NO
area_12,monsters/003_m_master_robo_마스터_로보/RESULT_INFO.md,DOCUMENT,bb635d5c2e7e70f6b1c017c5c211efb2abff20e61c965455ed3afae12d6a2e87,V2.4 canonical metadata / actual delivered PNG composition,NO
area_12,monsters/003_m_master_robo_마스터_로보/PREVIEW/labeled_preview.png,PREVIEW,e6d5a44601ef58e1f881a37c5d2e064675221c1f3933cab03266c3f23a3cbfb7,V2.4 canonical metadata / actual delivered PNG composition,NO
area_12,monsters/004_m_chronos_크로노스/RESULT_INFO.md,DOCUMENT,f4ae2a1fa3477829b80387558a1fdf82ee4efb91e66308864d0531c591de0e7e,V2.4 canonical metadata / actual delivered PNG composition,NO
area_12,monsters/004_m_chronos_크로노스/PREVIEW/labeled_preview.png,PREVIEW,4d0380b6bc94de96a33b204a54816eda96f8b099384fed6346f86a720a9e3509,V2.4 canonical metadata / actual delivered PNG composition,NO
area_12,monsters/005_m_timer_타이머/RESULT_INFO.md,DOCUMENT,0cd4e4626992d52906851dbc183cd46be8a69e67e7deba65f4b4eca4a6b34fb6,V2.4 canonical metadata / actual delivered PNG composition,NO
area_12,monsters/005_m_timer_타이머/PREVIEW/labeled_preview.png,PREVIEW,0de7fbbcac99e46e3d9897a6952af71b0e1e6a7198d521a2b41f1ea6fdfdb5aa,V2.4 canonical metadata / actual delivered PNG composition,NO
area_12,AREA_OVERVIEW_PREVIEW.png,PREVIEW,84247e20d4ad9629604a1ba078cc2719f2a1475b63e16ed0a0e25d4b2dcf718a,V2.4 canonical metadata / actual delivered PNG composition,NO
area_12,OUTPUT_MANIFEST.csv,DOCUMENT,5cea8547b65336ca0105f72f06ac88ab353c61f7062ed908bdb30f66c85e1635,V2.4 canonical metadata / actual delivered PNG composition,NO
area_12,OUTPUT_MANIFEST.md,DOCUMENT,b531ad6ba35af93677b934a7cd7c13b80f270228492b79ac1afed782e07d6768,V2.4 canonical metadata / actual delivered PNG composition,NO
area_12,REPACK_INFO.md,DOCUMENT,ad64ddbbf8fe305ea8a4e99088df7efb53f39ead719797c8621f3345ea9f3f66,V2.4 canonical metadata / actual delivered PNG composition,NO
