area_id,monster_id,skill_id,role,frame_index,source_zip,source_path,output_path,source_sha256,output_sha256,change_class,byte_preserved
area_12,m_brown_teddy,s_mon_brown_teddy,ICON,0,D:\maplestory_levup\docs\art\output\AREA_12_IMAGES_OUTPUT.zip,AREA_12_IMAGES_OUTPUT/ICON/001_m_brown_teddy_s_mon_brown_teddy_ICON.png,AREA_12_IMAGES_OUTPUT/monsters/001_m_brown_teddy_브라운테니/ICON/001_m_brown_teddy_s_mon_brown_teddy_ICON.png,41ddd211f3f31f214d45362d6569086f1f35eb741a1a1a109bb2b03c0b1648c4,41ddd211f3f31f214d45362d6569086f1f35eb741a1a1a109bb2b03c0b1648c4,PRESERVED,True
area_12,m_brown_teddy,s_mon_brown_teddy,REFERENCE_VFX,0,D:\maplestory_levup\docs\art\output\AREA_12_IMAGES_OUTPUT.zip,AREA_12_IMAGES_OUTPUT/REFERENCE/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_F00.png,AREA_12_IMAGES_OUTPUT/monsters/001_m_brown_teddy_브라운테니/REFERENCE/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_F00.png,0d6a113ed2de7d858312b2e2e53b24a4129695b730c3f9fc33bcc5d63cb561b3,0d6a113ed2de7d858312b2e2e53b24a4129695b730c3f9fc33bcc5d63cb561b3,PRESERVED,True
area_12,m_brown_teddy,s_mon_brown_teddy,REFERENCE_VFX,1,D:\maplestory_levup\docs\art\output\AREA_12_IMAGES_OUTPUT.zip,AREA_12_IMAGES_OUTPUT/REFERENCE/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_F01.png,AREA_12_IMAGES_OUTPUT/monsters/001_m_brown_teddy_브라운테니/REFERENCE/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_F01.png,7b310a0c47430cd16bfd40d7a1eecb88bce28c6487b52f18d45a5dd6129c14fa,7b310a0c47430cd16bfd40d7a1eecb88bce28c6487b52f18d45a5dd6129c14fa,PRESERVED,True
area_12,m_brown_teddy,s_mon_brown_teddy,REFERENCE_VFX,2,D:\maplestory_levup\docs\art\output\AREA_12_IMAGES_OUTPUT.zip,AREA_12_IMAGES_OUTPUT/REFERENCE/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_F02.png,AREA_12_IMAGES_OUTPUT/monsters/001_m_brown_teddy_브라운테니/REFERENCE/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_F02.png,4e5f85f417d2647b618a8b8a4028ad8e1e9f7fd33ba44b1e2bdabd27e6ce1d19,4e5f85f417d2647b618a8b8a4028ad8e1e9f7fd33ba44b1e2bdabd27e6ce1d19,PRESERVED,True
area_12,m_brown_teddy,s_mon_brown_teddy,REFERENCE_VFX,3,D:\maplestory_levup\docs\art\output\AREA_12_IMAGES_OUTPUT.zip,AREA_12_IMAGES_OUTPUT/REFERENCE/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_F03.png,AREA_12_IMAGES_OUTPUT/monsters/001_m_brown_teddy_브라운테니/REFERENCE/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_F03.png,7e018c11e5d3f8879be75891f065588cfa32ba1e10870096dc566159a2ee0c1c,7e018c11e5d3f8879be75891f065588cfa32ba1e10870096dc566159a2ee0c1c,PRESERVED,True
area_12,m_brown_teddy,s_mon_brown_teddy,REFERENCE_VFX,4,D:\maplestory_levup\docs\art\output\AREA_12_IMAGES_OUTPUT.zip,AREA_12_IMAGES_OUTPUT/REFERENCE/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_F04.png,AREA_12_IMAGES_OUTPUT/monsters/001_m_brown_teddy_브라운테니/REFERENCE/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_F04.png,a7f88060c6d170956810d12bc26478a9301f89fb55a7d95ee905747130f18a6e,a7f88060c6d170956810d12bc26478a9301f89fb55a7d95ee905747130f18a6e,PRESERVED,True
area_12,m_brown_teddy,s_mon_brown_teddy,REFERENCE_VFX,5,D:\maplestory_levup\docs\art\output\AREA_12_IMAGES_OUTPUT.zip,AREA_12_IMAGES_OUTPUT/REFERENCE/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_F05.png,AREA_12_IMAGES_OUTPUT/monsters/001_m_brown_teddy_브라운테니/REFERENCE/001_m_brown_teddy_s_mon_brown_teddy_REFERENCE_F05.png,043cf9157cba6b82b46a4dbdedebd12a50a379e223bc788cc55d0697a7f4b9ee,043cf9157cba6b82b46a4dbdedebd12a50a379e223bc788cc55d0697a7f4b9ee,PRESERVED,True
area_12,m_toy_trojan,s_mon_toy_trojan,ICON,0,D:\maplestory_levup\docs\art\output\AREA_12_IMAGES_OUTPUT.zip,AREA_12_IMAGES_OUTPUT/ICON/002_m_toy_trojan_s_mon_toy_trojan_ICON.png,AREA_12_IMAGES_OUTPUT/monsters/002_m_toy_trojan_장난감_목마/ICON/002_m_toy_trojan_s_mon_toy_trojan_ICON.png,9fb9bc83b18c3b6e516405d08902761bdd5d63b698519b270812b13c13692661,9fb9bc83b18c3b6e516405d08902761bdd5d63b698519b270812b13c13692661,PRESERVED,True
area_12,m_toy_trojan,s_mon_toy_trojan,CAST_VFX,0,D:\maplestory_levup\docs\art\output\AREA_12_IMAGES_OUTPUT.zip,AREA_12_IMAGES_OUTPUT/CAST/002_m_toy_trojan_s_mon_toy_trojan_CAST_F00.png,AREA_12_IMAGES_OUTPUT/monsters/002_m_toy_trojan_장난감_목마/CAST/002_m_toy_trojan_s_mon_toy_trojan_CAST_F00.png,467c9aa3f5f7043275590fcfc0827faf091d2f9191e2d980ff25c9e7f89cb95d,467c9aa3f5f7043275590fcfc0827faf091d2f9191e2d980ff25c9e7f89cb95d,PRESERVED,True
area_12,m_toy_trojan,s_mon_toy_trojan,CAST_VFX,1,D:\maplestory_levup\docs\art\output\AREA_12_IMAGES_OUTPUT.zip,AREA_12_IMAGES_OUTPUT/CAST/002_m_toy_trojan_s_mon_toy_trojan_CAST_F01.png,AREA_12_IMAGES_OUTPUT/monsters/002_m_toy_trojan_장난감_목마/CAST/002_m_toy_trojan_s_mon_toy_trojan_CAST_F01.png,e41e60f8373dce47c6634476c8a3e793f17ebf9d083d64d61068de9fd346449f,e41e60f8373dce47c6634476c8a3e793f17ebf9d083d64d61068de9fd346449f,PRESERVED,True
