area_id,candidate_zip_path,sha256,status,basis,input_v24_path,input_v24_sha256,user_art_approval,runtime_validation
area_01,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_01_IMAGES_OUTPUT.zip,fe273429b4798491f02bf0274ba74214c8e1e28aca5b994c174bf77568d34023,EXISTING_REPACK_REUSED_UNCHANGED,Latest origin-art audit + exact archive SHA256 reused,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_01_IMAGES_INPUT_V2_4.zip,7e33f787d2ab9cb1b5b47e41a11431c498eb2e35a18bce49b5c2a483f1c4fa1b,PENDING,NOT_RUN
area_02,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_02_IMAGES_OUTPUT.zip,3961030e37ced705bc0a80d983e170da0e9f05fc8fe9f96df26f09944e40228d,EXISTING_REPACK_REUSED_UNCHANGED,Latest origin-art audit + exact archive SHA256 reused,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_02_IMAGES_INPUT_V2_4.zip,d0932cfaa6ac29131c1ae081894030812d62b875c3e7863fcf3066fcf48d78ff,PENDING,NOT_RUN
area_03,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_03_IMAGES_OUTPUT.zip,18dfd00a7a17d7aac7b0700ea558a04ecd8f5cb654ea5d111a8ff4611bbf638f,EXISTING_REPACK_REUSED_UNCHANGED,Latest origin-art audit + exact archive SHA256 reused,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_03_IMAGES_INPUT_V2_4.zip,4678637c7b62993ea0edb5d107ad5095795e9686a8816b774c1f3c4441769234,PENDING,NOT_RUN
area_04,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_04_IMAGES_OUTPUT.zip,0749c2d0fae8966f748b8c62a6559612ea5d9572564c479b024f229405f31e10,EXISTING_REPACK_REUSED_UNCHANGED,Latest origin-art audit + exact archive SHA256 reused,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_04_IMAGES_INPUT_V2_4.zip,0e4e4cc08448263049e4d3a12397b8d4fcb4f6a51744124aa76353736be5e4af,PENDING,NOT_RUN
area_05,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_05_IMAGES_OUTPUT.zip,d8f29aca689b5969e528815fcdfcfad499dbdcc6ec11e75ad2a7b5edfabadb2d,EXISTING_REPACK_REUSED_UNCHANGED,Latest origin-art audit + exact archive SHA256 reused,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_05_IMAGES_INPUT_V2_4.zip,a03d67a4fcde691aa47f2dd7541b547a170f054ed755967e42de9d5636ff45d1,PENDING,NOT_RUN
area_07,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_07_IMAGES_OUTPUT.zip,8af08f4a2d8cc1d187ceb4566820b0d6e31423cb60d3c2eb53a1c9021a821fa1,EXISTING_REPACK_REUSED_UNCHANGED,Latest origin-art audit + exact archive SHA256 reused,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_07_IMAGES_INPUT_V2_4.zip,23f9585e486719f4a4eefb7b354c01e4e7d8aa6b4de316af03fedec9bcd69002,PENDING,NOT_RUN
area_08,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_08_IMAGES_OUTPUT.zip,deb1e6180851f0de755b157cbca863c01612c129148f66b38c1462d3328ac6b7,EXISTING_REPACK_REUSED_UNCHANGED,Latest origin-art audit + exact archive SHA256 reused,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_08_IMAGES_INPUT_V2_4.zip,b613e6f6e75463d727437fdc3e7b451f594d7fc330ae30a2de614341d7d09c1d,PENDING,NOT_RUN
area_09,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_09_IMAGES_OUTPUT.zip,5492ea6aa2f3fe761473f6cd96150d314127fbeea9232de8ca68b774c96f7fd8,EXISTING_REPACK_REUSED_UNCHANGED,Latest origin-art audit + exact archive SHA256 reused,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_09_IMAGES_INPUT_V2_4.zip,6e7559fce3f98885298240dee6b9857197785ef59c6dfa9632868bb2aa572298,PENDING,NOT_RUN
area_10,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_10_IMAGES_OUTPUT.zip,68d6caaeb6a59f418e5e373b0b3990829c360d2aa6aaa824f9f29d6e29627973,EXISTING_REPACK_REUSED_UNCHANGED,Latest origin-art audit + exact archive SHA256 reused,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_10_IMAGES_INPUT_V2_4.zip,e41e8926e4c9954799ccc7acaa04581d1d7760689f6a5a5667ab5cc1c69894f5,PENDING,NOT_RUN
area_11,D:\maplestory_levup\docs\art\output\AREA_11_IMAGES_OUTPUT.zip,8543adcb35efe52c43c7dd70a2d8b59c615ddb66652c8a066a8e4a7db119b909,BLOCKED_ALPHA_NO_CORRECTED_PACKAGE,Selected prior original only; NOT final corrected candidate,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_11_IMAGES_INPUT_V2_4.zip,b3a1d049f22cb7147e9c4f0f88e1d8553533479200c8fe507e128658e0ec2d58,PENDING,NOT_RUN
