area_id,monster_id,skill_id,effect_role,production_decision,output_relpath,file_name,frame_index,width,height,mode,alpha_min,alpha_max,visible_bbox,nonempty,canvas_contract,frame_seconds,playback_mode,runtime_use,source_monster_image,source_generation_sheet,split_box_on_sheet,validation,user_art_approval
area_18,m_mateon,s_mon_mateon,ICON,NEW_ART,ICON/001_m_mateon_s_mon_mateon_ICON.png,001_m_mateon_s_mon_mateon_ICON.png,,256,256,RGBA,0,253,"(0, 0, 256, 256)",True,256x256 RGBA,static,static,ui,monsters/001_m_mateon_마티안/MONSTER_IMAGE.png,SOURCE_SHEETS/001_m_mateon_sheet.png,"(0, 0, 314, 314)",PASS,PENDING
area_18,m_mateon,s_mon_mateon,CAST_VFX,NEW_ART,CAST/001_m_mateon_s_mon_mateon_CAST_F00.png,001_m_mateon_s_mon_mateon_CAST_F00.png,F00,384,384,RGBA,0,251,"(0, 0, 384, 384)",True,384x384 RGBA,0.10,non-loop one-shot,true,monsters/001_m_mateon_마티안/MONSTER_IMAGE.png,SOURCE_SHEETS/001_m_mateon_sheet.png,"(314, 0, 627, 314)",PASS,PENDING
area_18,m_mateon,s_mon_mateon,CAST_VFX,NEW_ART,CAST/001_m_mateon_s_mon_mateon_CAST_F01.png,001_m_mateon_s_mon_mateon_CAST_F01.png,F01,384,384,RGBA,0,253,"(0, 10, 384, 384)",True,384x384 RGBA,0.10,non-loop one-shot,true,monsters/001_m_mateon_마티안/MONSTER_IMAGE.png,SOURCE_SHEETS/001_m_mateon_sheet.png,"(627, 0, 940, 314)",PASS,PENDING
area_18,m_mateon,s_mon_mateon,CAST_VFX,NEW_ART,CAST/001_m_mateon_s_mon_mateon_CAST_F02.png,001_m_mateon_s_mon_mateon_CAST_F02.png,F02,384,384,RGBA,0,253,"(0, 0, 384, 384)",True,384x384 RGBA,0.10,non-loop one-shot,true,monsters/001_m_mateon_마티안/MONSTER_IMAGE.png,SOURCE_SHEETS/001_m_mateon_sheet.png,"(940, 0, 1254, 314)",PASS,PENDING
area_18,m_mateon,s_mon_mateon,CAST_VFX,NEW_ART,CAST/001_m_mateon_s_mon_mateon_CAST_F03.png,001_m_mateon_s_mon_mateon_CAST_F03.png,F03,384,384,RGBA,0,253,"(0, 0, 384, 384)",True,384x384 RGBA,0.10,non-loop one-shot,true,monsters/001_m_mateon_마티안/MONSTER_IMAGE.png,SOURCE_SHEETS/001_m_mateon_sheet.png,"(0, 314, 314, 627)",PASS,PENDING
area_18,m_mateon,s_mon_mateon,CAST_VFX,NEW_ART,CAST/001_m_mateon_s_mon_mateon_CAST_F04.png,001_m_mateon_s_mon_mateon_CAST_F04.png,F04,384,384,RGBA,0,253,"(0, 0, 384, 384)",True,384x384 RGBA,0.10,non-loop one-shot,true,monsters/001_m_mateon_마티안/MONSTER_IMAGE.png,SOURCE_SHEETS/001_m_mateon_sheet.png,"(314, 314, 627, 627)",PASS,PENDING
area_18,m_mateon,s_mon_mateon,CAST_VFX,NEW_ART,CAST/001_m_mateon_s_mon_mateon_CAST_F05.png,001_m_mateon_s_mon_mateon_CAST_F05.png,F05,384,384,RGBA,0,253,"(0, 0, 384, 384)",True,384x384 RGBA,0.10,non-loop one-shot,true,monsters/001_m_mateon_마티안/MONSTER_IMAGE.png,SOURCE_SHEETS/001_m_mateon_sheet.png,"(627, 314, 940, 627)",PASS,PENDING
area_18,m_mateon,s_mon_mateon,CAST_VFX,NEW_ART,CAST/001_m_mateon_s_mon_mateon_CAST_F06.png,001_m_mateon_s_mon_mateon_CAST_F06.png,F06,384,384,RGBA,0,253,"(0, 0, 384, 384)",True,384x384 RGBA,0.10,non-loop one-shot,true,monsters/001_m_mateon_마티안/MONSTER_IMAGE.png,SOURCE_SHEETS/001_m_mateon_sheet.png,"(940, 314, 1254, 627)",PASS,PENDING
area_18,m_mateon,s_mon_mateon,CAST_VFX,NEW_ART,CAST/001_m_mateon_s_mon_mateon_CAST_F07.png,001_m_mateon_s_mon_mateon_CAST_F07.png,F07,384,384,RGBA,0,253,"(0, 0, 384, 384)",True,384x384 RGBA,0.10,non-loop one-shot,true,monsters/001_m_mateon_마티안/MONSTER_IMAGE.png,SOURCE_SHEETS/001_m_mateon_sheet.png,"(0, 627, 314, 940)",PASS,PENDING
area_18,m_mateon,s_mon_mateon,PROJECTILE,NEW_ART,PROJECTILE/001_m_mateon_s_mon_mateon_PROJECTILE_F00.png,001_m_mateon_s_mon_mateon_PROJECTILE_F00.png,F00,384,384,RGBA,0,241,"(0, 0, 384, 384)",True,384x384 RGBA,0.08,non-loop complete playback within 0.35s entity lifetime,true,monsters/001_m_mateon_마티안/MONSTER_IMAGE.png,SOURCE_SHEETS/001_m_mateon_sheet.png,"(314, 627, 627, 940)",PASS,PENDING
area_18,m_mateon,s_mon_mateon,PROJECTILE,NEW_ART,PROJECTILE/001_m_mateon_s_mon_mateon_PROJECTILE_F01.png,001_m_mateon_s_mon_mateon_PROJECTILE_F01.png,F01,384,384,RGBA,0,253,"(0, 0, 384, 384)",True,384x384 RGBA,0.08,non-loop complete playback within 0.35s entity lifetime,true,monsters/001_m_mateon_마티안/MONSTER_IMAGE.png,SOURCE_SHEETS/001_m_mateon_sheet.png,"(627, 627, 940, 940)",PASS,PENDING
area_18,m_mateon,s_mon_mateon,PROJECTILE,NEW_ART,PROJECTILE/001_m_mateon_s_mon_mateon_PROJECTILE_F02.png,001_m_mateon_s_mon_mateon_PROJECTILE_F02.png,F02,384,384,RGBA,0,253,"(0, 0, 384, 384)",True,384x384 RGBA,0.08,non-loop complete playback within 0.35s entity lifetime,true,monsters/001_m_mateon_마티안/MONSTER_IMAGE.png,SOURCE_SHEETS/001_m_mateon_sheet.png,"(940, 627, 1254, 940)",PASS,PENDING
area_18,m_mateon,s_mon_mateon,PROJECTILE,NEW_ART,PROJECTILE/001_m_mateon_s_mon_mateon_PROJECTILE_F03.png,001_m_mateon_s_mon_mateon_PROJECTILE_F03.png,F03,384,384,RGBA,0,253,"(0, 0, 384, 384)",True,384x384 RGBA,0.08,non-loop complete playback within 0.35s entity lifetime,true,monsters/001_m_mateon_마티안/MONSTER_IMAGE.png,SOURCE_SHEETS/001_m_mateon_sheet.png,"(0, 940, 314, 1254)",PASS,PENDING
area_18,m_plateon,s_mon_plateon,ICON,NEW_ART,ICON/002_m_plateon_s_mon_plateon_ICON.png,002_m_plateon_s_mon_plateon_ICON.png,,256,256,RGBA,0,255,"(19, 0, 256, 256)",True,256x256 RGBA,static,static,ui,monsters/002_m_plateon_플라티안/MONSTER_IMAGE.png,SOURCE_SHEETS/002_m_plateon_sheet.png,"(0, 0, 444, 444)",PASS,PENDING
